company,sector,city,website,website_status,email,phone,estimated_ticket,priority,status,last_contact_date,notes
Kariuki Muigua and Company Advocates,Law Firm,Nairobi,https://kmco.co.ke,outdated,,high,1,New,,No email - need to research,
Atlas Education Centre,School,Nairobi,,no-site,atlaske@hotmail.com,+254725256633,mid,1,Contacted,2026-02-23,Initial outreach sent
Cedar Progressive Academy,School,Nairobi,,no-site,cedarpacademy@yahoo.co.uk,+254722857280,mid,1,Contacted,2026-02-23,Initial outreach sent
Mary Junior Academy,School,Nairobi,,no-site,marymubea@gmail.com,+254723100711,mid,1,Contacted,2026-02-23,Initial outreach sent
House of Waine,Hotel,Nairobi,https://www.houseofwaine.com,okay,reservations@houseofwaine.co.ke,,high,1,Contacted,2026-02-23,Initial outreach sent
Kenya Comfort Hotel,Hotel,Nairobi,https://www.kenyacomfort.com/kcs/contact.html,outdated,sales@kenyacomfort.com,+254737111111,high,1,Contacted,2026-02-23,Initial outreach sent
Kenya Logistics,Logistics,Nairobi,http://www.kenyalogistics.com,outdated,nairobi@kenyalogistics.com,+254729295422,mid,1,Contacted,2026-02-25,
One Health Medical Centre,Clinic,Nairobi,https://onehealth.co.ke,okay,info@onehealth.co.ke,+254745101010,high,1,Contacted,2026-02-23,Initial outreach sent
Nairobi West Hospital,Clinic,Nairobi,https://nairobiwesthospital.com,outdated,info@tnwhchs.com,+254780800077,high,1,Contacted,2026-02-23,Initial outreach sent
Nairobi Women's Hospital,Clinic,Nairobi,,no-site,info@nwch.co.ke,+254202726821,high,1,Contacted,2026-02-23,Initial outreach sent
AKU Outpatient Medical Centre (Buruburu),Clinic,Nairobi,http://hospitals.aku.edu/nairobi/ServicesAndFacilities/Pages/OutpatientMedicalCentres.aspx,outdated,buruburu.clinic@aku.edu,+254711092550,mid,1,Contacted,2026-02-25,
Center for Diabetes Care Kenya,Clinic,Nairobi,,no-site,cdiabetescentre@gmail.com,+254711781299,mid,1,Contacted,2026-02-23,Initial outreach sent
Musa Gitau & Co. Advocates,Law Firm,Nairobi,https://www.musagitauadvocates.co.ke,outdated,info@musagitauadvocates.co.ke,,high,1,Contacted,2026-02-23,Initial outreach sent
Otieno Aballah Advocates,Law Firm,Nairobi,https://otienoaballah.com,outdated,info@otienoaballah.com,,high,1,Contacted,2026-02-23,Initial outreach sent
The Maji Beach Boutique Hotel,Hotel,Diani,https://www.the-maji.com,outdated,,,high,1,New,,No email - need to research
Siggol Logistics,Logistics,Mombasa,https://www.siggol.com,okay,info@siggol.com,+254412221833,high,1,Contacted,2026-02-23,Initial outreach sent
Firstlane Logistics,Logistics,Nairobi,https://www.firstlanelogistics.com,outdated,info@firstlanelogistics.com,+254788309344,mid,1,Contacted,2026-02-23,Initial outreach sent
Freight Forwarders Kenya,Logistics,Nairobi,,no-site,info@ffkgrp.com,+254709383000,high,1,Contacted,2026-02-23,Initial outreach sent
AAR Hospital,Clinic,Nairobi,https://aarhospital.com,okay,info@aarhospital.com,+254730082000,high,1,Contacted,2026-02-23,Initial outreach sent
Gertrude's Children's Hospital,Clinic,Nairobi,https://www.gerties.org,okay,info@gerties.org,+254207206000,high,1,Contacted,2026-02-23,Initial outreach sent
Koya & Company Advocates,Law Firm,Nairobi,https://koyaadvocates.co.ke,okay,info@koyaadvocates.co.ke,+254731712579,high,2,Contacted,2026-02-25,
WKA Advocates,Law Firm,Nairobi,https://www.wka.co.ke,okay,,,high,2,New,,No email - need to research
CR Advocates LLP,Law Firm,Nairobi,https://www.cradvocatesllp.com,okay,,,high,3,New,,No email - need to research
CM Advocates LLP,Law Firm,Nairobi,https://cmadvocates.com,okay,,,high,3,New,,No email - need to research
Nairobi Academy,School,Nairobi,https://www.nairobiacademy.or.ke,okay,kindergarten@nairobiacademy.net,+254721305721,high,2,Contacted,2026-02-25,
Braeburn School,School,Nairobi,https://braeburnschool.braeburn.com,okay,enquiries.braeburn@braeburn.ac.ke,+254730881000,high,2,Contacted,2026-02-25,
Hillcrest International School,School,Nairobi,https://hillcrest.ac.ke,okay,admin@hillcrest.ac.ke,+254730881192,high,2,Contacted,2026-02-25,
Makini School,School,Nairobi,https://www.makinischool.ac.ke,okay,admissions@makinischool.com,+254791781370,high,2,Responded,2026-02-25,"Auto-reply received - opened email, hot lead"
Rosslyn Academy,School,Nairobi,https://rosslynacademy.org,okay,admissions@rosslynacademy.com,,high,3,Contacted,2026-02-25,
DoubleTree Nairobi Hurlingham,Hotel,Nairobi,https://www.hilton.com/en/hotels/nbohudi-doubletree-nairobi-hurlingham/,okay,reservations@doubletreenairobi.co.ke,+254709090000,high,3,Contacted,2026-02-25,
Eka Hotel,Hotel,Nairobi,https://www.ekahotel.com,okay,reservations@ekahotel.com,+254719045000,high,2,Contacted,2026-02-25,
Siginon Group,Logistics,Nairobi,https://siginon.com,okay,corporate@siginon.com,+254709321500,high,2,Contacted,2026-02-25,
20Cube Kenya,Logistics,Nairobi,https://www.20cube.com/freight-forwarder-in-kenya/,okay,ke@20cube.com,+254721700367,high,3,Contacted,2026-02-25,
The Nairobi Hospital,Clinic,Nairobi,https://thenairobihosp.org/contact-us,okay,hosp@nbihosp.org,+254703082000,high,2,Contacted,2026-02-25,
Synergy Clinics,Clinic,Kisumu,https://synergyclinics.co.ke,okay,info.synergyclinics@gmail.com,+254740444777,mid,2,Contacted,2026-02-25,
Mwagambo & Okonjo Advocates,Law Firm,Nairobi,https://mwagambookonjo.com,okay,info@mwagambookonjo.com,,high,2,Contacted,2026-02-25,
KN Law LLP,Law Firm,Nairobi,https://knlawllp.com,okay,info@knlawllp.com,,high,2,Contacted,2026-02-25,
Neptune Palm Beach Boutique Resort & Spa,Hotel,Diani,https://www.neptunehotels.com/neptune-palm-beach-boutique-resort-spa/,okay,rsvpalm@neptunehotels.com,+254716016000,high,2,Contacted,2026-02-25,
Neptune Hotels (Info),Hotel,Diani,https://www.neptunehotels.com/neptune-palm-beach-boutique-resort-spa/,okay,info@neptunehotels.com,+254113297615,high,2,Contacted,2026-02-25,
Nomad Beach Resort,Hotel,Diani,https://www.nomad-beach-resort.com,okay,,,high,2,New,,No email - need to research
MP Shah Hospital,Clinic,Nairobi,https://mpshahhosp.org,okay,info@mpshahhospital.org,+254111000600,high,2,Contacted,2026-02-25,
Karen Hospital,Clinic,Nairobi,https://karenhospital.org,okay,info@karenhospital.org,+254206613000,high,2,Contacted,2026-02-25,
Avenue Healthcare,Clinic,Nairobi,https://www.avenuehealthcare.com,okay,info@avenuehealthcare.com,+254711060000,high,3,Contacted,2026-02-25,
